name,id,name_type,class,mass,fall,year,lat,long,geolocation,countrycode,countryname,continent,sub-region,intermediate-region
Brainard,5131,Valid,"Iron, IIIAB",138300.0,Found,1978,41.15333,-96.955,"(41.15333, -96.955)",US,United States,Americas,Northern America,
Bridgewater,5139,Valid,"Iron, IID",13600.0,Found,1890,35.71667,-81.86667,"(35.71667, -81.86667)",US,United States,Americas,Northern America,
Briggsdale,5141,Valid,"Iron, IIIAB",2230.0,Found,1949,40.66667,-104.31667,"(40.66667, -104.31667)",US,United States,Americas,Northern America,
Bristol,5143,Valid,"Iron, IVA",20000.0,Found,1937,36.56667,-82.18333,"(36.56667, -82.18333)",US,United States,Americas,Northern America,
Britstown,5144,Valid,"Iron, IAB-ung",544.0,Found,1910,-30.58333,23.55,"(-30.58333, 23.55)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
Brownfield (iron),5154,Valid,"Iron, IID",1626.0,Found,1960,33.21667,-102.18333,"(33.21667, -102.18333)",US,United States,Americas,Northern America,
Buenaventura,5162,Valid,"Iron, IIIAB",113600.0,Found,1969,29.8,-107.55,"(29.8, -107.55)",MX,Mexico,Americas,Latin America and the Caribbean,Central America
Bur-Abor,5166,Valid,"Iron, IIIAB",290000.0,Found,1997,3.983330000000002,41.65,"(3.98333, 41.65)",KE,Kenya,Africa,Sub-Saharan Africa,Eastern Africa
Burkhala,5171,Valid,"Iron, IAB-ung",1825.0,Found,1983,63.8,149.0,"(63.8, 149.0)",RU,Russia,Europe,Eastern Europe,
Burlington,5172,Valid,"Iron, IIIE",68000.0,Found,1819,42.75,-75.18333,"(42.75, -75.18333)",US,United States,Americas,Northern America,
Burstall,45985,Valid,"Iron, IAB complex",360.0,Found,1992,50.65,-109.9,"(50.65, -109.9)",CA,Canada,Americas,Northern America,
Bushman Land,5179,Valid,"Iron, IVA",3000.0,Found,1933,-30.0,20.0,"(-30.0, 20.0)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
Butler,5182,Valid,"Iron, ungrouped",41000.0,Found,1874,38.3,-94.36667,"(38.3, -94.36667)",US,United States,Americas,Northern America,
Cacaria,5188,Valid,"Iron, IIIAB",41400.0,Found,1867,24.5,-104.8,"(24.5, -104.8)",MX,Mexico,Americas,Latin America and the Caribbean,Central America
Cachiyuyal,5190,Valid,"Iron, IIIE",2500.0,Found,1874,-25.0,-69.5,"(-25.0, -69.5)",CL,Chile,Americas,Latin America and the Caribbean,South America
Caddo County,5192,Valid,"Iron, IAB-ung",18000.0,Found,1987,35.0,-98.33333,"(35.0, -98.33333)",US,United States,Americas,Northern America,
Cambria,5203,Valid,"Iron, ungrouped",16300.0,Found,1818,43.2,-78.8,"(43.2, -78.8)",US,United States,Americas,Northern America,
Campbellsville,5245,Valid,"Iron, IIIAB",15400.0,Found,1929,37.36667,-85.36667,"(37.36667, -85.36667)",US,United States,Americas,Northern America,
Campinorte,52093,Valid,"Iron, ungrouped",2000000.0,Found,1992,-14.258,-49.15917,"(-14.258, -49.15917)",BR,Brazil,Americas,Latin America and the Caribbean,South America
Campo de Pucara (iron),5246,Valid,Iron,41.0,Found,1879,-27.66667,-67.11667,"(-27.66667, -67.11667)",AR,Argentina,Americas,Latin America and the Caribbean,South America
Canton,5254,Valid,"Iron, IIIAB",7030.0,Found,1894,34.2,-84.48333000000002,"(34.2, -84.48333)",US,United States,Americas,Northern America,
Canyon City,5256,Valid,"Iron, IIIAB",8600.0,Found,1875,40.9,-123.1,"(40.9, -123.1)",US,United States,Americas,Northern America,
Cape York,5262,Valid,"Iron, IIIAB",58200000.0,Found,1818,76.13333,-64.93333,"(76.13333, -64.93333)",CA,Canada,Americas,Northern America,
Caperr,5263,Valid,"Iron, IIIAB",113900.0,Found,1869,-45.28333,-70.48333000000002,"(-45.28333, -70.48333)",AR,Argentina,Americas,Latin America and the Caribbean,South America
Carbo,5266,Valid,"Iron, IID",454000.0,Found,1923,29.66667,-111.5,"(29.66667, -111.5)",MX,Mexico,Americas,Latin America and the Caribbean,Central America
