name,id,name_type,class,mass,fall,year,lat,long,geolocation,countrycode,countryname,continent,sub-region,intermediate-region
Ksar Ghilane 004,54555,Valid,H5,335.0,Found,2010,32.81755,9.95518,"(32.81755, 9.95518)",TN,Tunisia,Africa,Northern Africa,
Shişr 118,51715,Valid,L/LL4,10.2,Found,2007,18.25305,53.99551999999999,"(18.25305, 53.99552)",OM,Oman,Asia,Western Asia,
Yamato 791307,26656,Valid,H4/5,3.07,Found,1979,-71.5,35.66667,"(-71.5, 35.66667)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
Queen Alexandra Range 99798,22244,Valid,LL5,2.7,Found,1999,-84.0,168.0,"(-84.0, 168.0)",AQ,Antarctica,Antarctica,Antarctica,
Yamato 74205,24583,Valid,H5,3.4,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
Jiddat al Harasis 439,48590,Valid,H4,1024.3,Found,2007,19.5815,56.44063000000001,"(19.5815, 56.44063)",OM,Oman,Asia,Western Asia,
Elephant Moraine 92184,9585,Valid,L4,12.0,Found,1992,-76.02624,156.04321000000004,"(-76.02624, 156.04321)",AQ,Antarctica,Antarctica,Antarctica,
Grove Mountains 054104,48499,Valid,L5,1.47,Found,2006,-72.78666700000002,75.278889,"(-72.786667, 75.278889)",TF,French Southern Territories,Africa,Sub-Saharan Africa,Eastern Africa
Cockburn,5391,Valid,L6,2460.0,Found,1946,-32.13333,141.03333,"(-32.13333, 141.03333)",AU,Australia,Oceania,Australia and New Zealand,
Miller Butte 09001,55371,Valid,H5,0.1,Found,2009,-71.90355,160.48982,"(-71.90355, 160.48982)",AQ,Antarctica,Antarctica,Antarctica,
Queen Alexandra Range 93210,19299,Valid,H5,4.7,Found,1993,-84.57937,162.61514,"(-84.57937, 162.61514)",AQ,Antarctica,Antarctica,Antarctica,
Acfer 309,317,Valid,L6,185.0,Found,1992,27.64556,4.20444,"(27.64556, 4.20444)",DZ,Algeria,Africa,Northern Africa,
Miller (Kansas),16646,Valid,H4,970.0,Found,1950,38.625,-96.02278,"(38.625, -96.02278)",US,United States,Americas,Northern America,
El Médano 068,56179,Valid,H4,125.0,Found,2011,-24.85,-70.53333,"(-24.85, -70.53333)",CL,Chile,Americas,Latin America and the Caribbean,South America
Seres,23501,Valid,H4,8500.0,Fell,1818,41.05,23.56667,"(41.05, 23.56667)",GR,Greece,Europe,Southern Europe,
Yamato 791558,26907,Valid,LL3.15,101.64,Found,1979,-71.5,35.66667,"(-71.5, 35.66667)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
Queen Alexandra Range 94312,19947,Valid,H6,2.4,Found,1994,-84.0,168.0,"(-84.0, 168.0)",AQ,Antarctica,Antarctica,Antarctica,
Dhofar 1719,56342,Valid,L6,461.0,Found,2010,18.97752,54.62923000000001,"(18.97752, 54.62923)",OM,Oman,Asia,Western Asia,
Elephant Moraine 90173,8582,Valid,L6,24.5,Found,1990,-76.28438,156.47693,"(-76.28438, 156.47693)",AQ,Antarctica,Antarctica,Antarctica,
Chinautla,5352,Valid,"Iron, IVA-an",5720.0,Found,1902,14.5,-90.5,"(14.5, -90.5)",GT,Guatemala,Americas,Latin America and the Caribbean,Central America
MacAlpine Hills 02684,14981,Valid,L5,1.81,Found,2002,-84.21667,160.5,"(-84.21667, 160.5)",AQ,Antarctica,Antarctica,Antarctica,
Allan Hills 84220,822,Valid,EH3,8.4,Found,1984,-76.75646,158.91429,"(-76.75646, 158.91429)",AQ,Antarctica,Antarctica,Antarctica,
Grosvenor Mountains 95521,11249,Valid,H5,451.5,Found,1995,-85.66667,175.0,"(-85.66667, 175.0)",AQ,Antarctica,Antarctica,Antarctica,
Queen Alexandra Range 93413,19501,Valid,H5,0.7,Found,1993,-84.0,168.0,"(-84.0, 168.0)",AQ,Antarctica,Antarctica,Antarctica,
Grove Mountains 020164,46719,Valid,L3,5.2,Found,2003,-72.97667,75.26583000000002,"(-72.97667, 75.26583)",TF,French Southern Territories,Africa,Sub-Saharan Africa,Eastern Africa
Jiddat al Harasis 673,56227,Valid,H5,1.48,Found,2011,19.660020000000006,55.70155,"(19.66002, 55.70155)",OM,Oman,Asia,Western Asia,
Queen Alexandra Range 97458,20914,Valid,LL5,1.5,Found,1997,-84.0,168.0,"(-84.0, 168.0)",AQ,Antarctica,Antarctica,Antarctica,
Lewis Cliff 93829,14552,Valid,H6,6.1,Found,1993,-84.27386,161.68738000000005,"(-84.27386, 161.68738)",AQ,Antarctica,Antarctica,Antarctica,
Lewis Cliff 86309,13241,Valid,L6,13.8,Found,1986,-84.27015,161.40904,"(-84.27015, 161.40904)",AQ,Antarctica,Antarctica,Antarctica,
Yamato 790097,25446,Valid,H4,2.46,Found,1979,-71.5,35.66667,"(-71.5, 35.66667)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
Shişr 168,52604,Valid,H5,12688.0,Found,2004,18.60667,53.95117,"(18.60667, 53.95117)",OM,Oman,Asia,Western Asia,
Dhofar 1408,35496,Valid,L~5,81.93,Found,2001,19.1422,54.88057,"(19.1422, 54.88057)",OM,Oman,Asia,Western Asia,
Frontier Mountain 90127,10520,Valid,H3,13.55,Found,1990,-72.96222,160.48443999999995,"(-72.96222, 160.48444)",AQ,Antarctica,Antarctica,Antarctica,
Akyumak,433,Valid,"Iron, IVA",50000.0,Fell,1981,39.91667,42.81667,"(39.91667, 42.81667)",TR,Turkey,Asia,Western Asia,
Allan Hills 84177,779,Valid,L5,7.3,Found,1984,-76.71105,158.74719,"(-76.71105, 158.74719)",AQ,Antarctica,Antarctica,Antarctica,
Elephant Moraine 90949,9358,Valid,L6,19.8,Found,1990,-76.27253,156.43308000000005,"(-76.27253, 156.43308)",AQ,Antarctica,Antarctica,Antarctica,
Sayh al Uhaymir 062,23254,Valid,L4,14.0,Found,2001,21.06,57.29,"(21.06, 57.29)",OM,Oman,Asia,Western Asia,
Lewis Cliff 86385,13316,Valid,H5,34.5,Found,1986,-84.27377,161.69368,"(-84.27377, 161.69368)",AQ,Antarctica,Antarctica,Antarctica,
Grove Mountains 023145,48082,Valid,L6,0.82,Found,2003,-72.773333,75.337778,"(-72.773333, 75.337778)",TF,French Southern Territories,Africa,Sub-Saharan Africa,Eastern Africa
Quartzsite,35634,Valid,L4,69.7,Found,2002,33.68085,-114.1958,"(33.68085, -114.1958)",US,United States,Americas,Northern America,
Queen Alexandra Range 93359,19447,Valid,H6,2.8,Found,1993,-84.0,168.0,"(-84.0, 168.0)",AQ,Antarctica,Antarctica,Antarctica,
Tané,23801,Valid,L5,905.0,Fell,1918,35.43333,136.23333,"(35.43333, 136.23333)",JP,Japan,Asia,Eastern Asia,
Allan Hills A77214,1525,Valid,L3.4,2111.0,Found,1977,-76.71667,159.66666999999995,"(-76.71667, 159.66667)",AQ,Antarctica,Antarctica,Antarctica,
Lewis Cliff 88244,13995,Valid,L5,3.9,Found,1988,-84.2344,161.46298000000004,"(-84.2344, 161.46298)",AQ,Antarctica,Antarctica,Antarctica,
Graves Nunataks 98048,11040,Valid,H6,702.1,Found,1998,-86.71667,-141.5,"(-86.71667, -141.5)",NZ,New Zealand,Oceania,Australia and New Zealand,
MacAlpine Hills 88106,15270,Valid,LL6,26.7,Found,1988,-84.21667,160.5,"(-84.21667, 160.5)",AQ,Antarctica,Antarctica,Antarctica,
Kalvesta,12237,Valid,H4,10000.0,Found,1968,38.08333,-100.25,"(38.08333, -100.25)",US,United States,Americas,Northern America,
Dhofar 192,6976,Valid,H4,4779.0,Found,1999,18.26167,54.24333000000001,"(18.26167, 54.24333)",OM,Oman,Asia,Western Asia,
Elephant Moraine 90104,8513,Valid,H5,1.3,Found,1990,-76.28153,156.41299999999995,"(-76.28153, 156.413)",AQ,Antarctica,Antarctica,Antarctica,
Yamato 793076,28425,Valid,E3,0.94,Found,1979,-71.5,35.66667,"(-71.5, 35.66667)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
Pecora Escarpment 01015,54706,Valid,H4,4.4,Found,2002,-85.68692,-68.9515,"(-85.68692, -68.9515)",AR,Argentina,Americas,Latin America and the Caribbean,South America
Yamato 792999,28348,Valid,E3,1.58,Found,1979,-71.5,35.66667,"(-71.5, 35.66667)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
Queen Alexandra Range 93255,19344,Valid,H5,9.9,Found,1993,-84.61548,162.22847,"(-84.61548, 162.22847)",AQ,Antarctica,Antarctica,Antarctica,
Dhofar 1504,53793,Valid,L~5,208.2,Found,2009,18.2238,54.2463,"(18.2238, 54.2463)",OM,Oman,Asia,Western Asia,
Bates Nunataks 00306,4964,Valid,L5,66.95,Found,2000,-80.25,153.5,"(-80.25, 153.5)",AQ,Antarctica,Antarctica,Antarctica,
Frontier Mountain 93050,10681,Valid,H3.2,1.77,Found,1993,-72.98167,160.43778,"(-72.98167, 160.43778)",AQ,Antarctica,Antarctica,Antarctica,
Elephant Moraine 96208,9799,Valid,L5,14.7,Found,1996,-76.18333,157.16666999999995,"(-76.18333, 157.16667)",AQ,Antarctica,Antarctica,Antarctica,
Elephant Moraine 90107,8516,Valid,L6,1.0,Found,1990,-76.28349,156.42791,"(-76.28349, 156.42791)",AQ,Antarctica,Antarctica,Antarctica,
Grove Mountains 052021,50350,Valid,L6,69.2,Found,2006,-72.78194,75.29944,"(-72.78194, 75.29944)",TF,French Southern Territories,Africa,Sub-Saharan Africa,Eastern Africa
